"f5","f6","f7","f8","f9","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f00"
0.251336898395722,0.252032520325203,0,0,0,0,0,0.02,0,0.00763358778625954,0.195804195804196,0.435897435897436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625668449197861,0,0,0,0,0,0,0,0.323308270676692,0.618320610687023,0,0.00854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.518716577540107,0.0975609756097561,0,0,0,0,0.0447761194029851,0.02,0.0676691729323308,0.366412213740458,0.34965034965035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.398373983739837,0.104838709677419,0.00775193798449612,0,0,0,0,0,0,0,0,0,0.189655172413793,0.282442748091603,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0
0.0106951871657754,0.341463414634146,0.0161290322580645,0,0,0,0,0.00666666666666667,0.0075187969924812,0,0,0,0,0.344827586206897,0.0305343511450382,0,0,0,0,0,0,0,0,0,0,0,0
0.197860962566845,0.292682926829268,0.193548387096774,0.558139534883721,0,0,0,0,0,0,0.034965034965035,0.615384615384615,0,0,0,0,0,0,0,0.0833333333333333,0.810810810810811,0,0,0,0,0,0
0.556149732620321,0,0,0,0,0.276119402985075,0.544776119402985,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363636363636364,0.268292682926829,0.00806451612903226,0.00775193798449612,0,0,0,0,0.421052631578947,0.0458015267175573,0,0,0.367521367521368,0.00862068965517241,0,0,0,0,0,0,0.0135135135135135,0,0,0,0,0,0
0.165775401069519,0.154471544715447,0,0,0,0.00746268656716418,0.00746268656716418,0.0133333333333333,0.0225563909774436,0.00763358778625954,0.0769230769230769,0.290598290598291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0.283422459893048,0.024390243902439,0.153225806451613,0,0,0,0,0,0.293233082706767,0.129770992366412,0,0,0,0,0,0,0.166666666666667,0.0555555555555556,0,0,0,0,0,0,0,0,0.7
0.122994652406417,0.617886178861789,0.0806451612903226,0.0155038759689922,0,0,0,0,0,0,0.0699300699300699,0.299145299145299,0,0.370689655172414,0.122137404580153,0.0384615384615385,0,0,0,0.0208333333333333,0,0,0,0,0,0,0
0.27807486631016,0.455284552845528,0,0,0,0.313432835820896,0.0373134328358209,0,0,0,0,0,0.299145299145299,0.267241379310345,0,0,0,0,0,0,0,0,0,0,0,0,0
