"lread","lwrite","scall","sread","swrite","fork","exec","rchar","wchar","pgout","ppgout","pgfree","pgscan","atch","pgin","ppgin","pflt","vflt","runqsz","freemem","freeswap","usr"
0.0032520325203252,0.00347826086956522,0.0748546511627907,0.0182605421686747,0.0196366305744173,0.0497017892644135,0.0167897918065816,0.0680018888753869,0.196912436636345,0,0,0,0,0,0.0141643059490085,0.0136700727931376,0.0817959546565904,0.0650644783118406,0.000354358610914245,0.540594721015703,0.825550277841551,0.909090909090909
0.000542005420054201,0,0.166020671834625,0.0374623493975904,0.0172508717195816,0.0198807157057654,0.0201477501678979,0.0169527753445555,0.0236877994583709,0.0589390962671906,0.229098805646037,0.144933078393881,0.146645109135004,0.000945268929010303,0.604815864022663,0.301425105088685,0.0215603467437208,0.118405627198124,0.00070871722182849,0.00626461744069495,0.504607956989727,0.888888888888889
0.0336043360433604,0.133913043478261,0.298530361757106,0.0474397590361446,0.0291796659937603,0.0695825049701789,0.0235057085292142,0.194691911837177,0.148438580654121,0.0589390962671906,0.105320304017372,0.0841300191204589,0.0640258690379951,0.0103979582191133,0.0538243626062323,0.0416937220190697,0.0755723494109802,0.160169988276671,0.00148830616583983,0.0167891747410625,0.586036372390151,0.858585858585859
0.002710027100271,0,0.372416020671835,0.0470632530120482,0.0311983850247752,0.0492047713717694,0.0433176628609805,0.207613608610928,0.0963633081036039,0.178167976424361,0.279533116178067,0.169158699808795,0.153484236054972,0.00940542584365252,0.0295325779036827,0.0849253272273675,0.106279173149589,0.18223182883939,0,0.0148680253925827,0.433581715284294,0.818181818181818
0.0227642276422764,0.0956521739130435,0.310077519379845,0.0457454819277108,0.0434942191227748,0.129224652087475,0.0772330423102753,0.0779818166057163,0.293147420318033,0.0515717092337918,0.0369163952225842,0.0126195028680688,0,0.00661688250307212,0.0127478753541076,0.00751854003622569,0.244054234274283,0.217614302461899,0.000850460666194189,0.0230537921817574,0.45194801142126,0.797979797979798
0.002710027100271,0.00173913043478261,0.127826227390181,0.0237198795180723,0.0146815929528354,0.0198807157057654,0.0302216252518469,0.0870481809678784,0.0586253732379696,0,0,0,0,0,0.0269830028328612,0.0137042479751205,0.0262836185819071,0.0306858147713951,0.000425230333097094,0.186769127965252,0.4505651562399,0.929292929292929
0.0016260162601626,0,0.0424741602067183,0.0111069277108434,0.00734079647641769,0.149105367793241,0.0503693754197448,0.0345107666292876,0.021799597250191,0.105599214145383,0.0477741585233442,0.0168260038240918,0,0,0.0113314447592068,0.00751854003622569,0.252945098910869,0.16573856975381,0,0.0195456064149683,0.805366030889115,0.828282828282828
0.0037940379403794,0.00869565217391304,0.0994832041343669,0.0440512048192771,0.02073775004588,0.0198807157057654,0.010073875083949,0.284265058457368,0.372636344698285,0,0,0,0,0,0.0538243626062323,0.0512627729742661,0.0475661258057346,0.0385404454865182,0.00134656272147413,0.206899432008019,0.46232299163912,0.909090909090909
0.0861788617886179,0.0695652173913043,0.188468992248062,0.0551581325301205,0.0467975775371628,0.0497017892644135,0.0167897918065816,0.0950363188937808,0.115520866606486,0,0,0,0,0.000945268929010303,0.128895184135977,0.11619561874167,0.0893531895976884,0.113130128956624,0.000637845499645641,0.0401770798529903,0.47680552428801,0.878787878787879
0.000542005420054201,0,0.259447674418605,0.0498870481927711,0.0299137456414021,0.0497017892644135,0.0537273337810611,0.157933652658299,0.070651760294424,0,0,0,0,0,0.0453257790368272,0.0314411674242165,0.0364525450100022,0.0684349355216882,0,0.0437687938523221,0.499364073850351,0.868686868686869
0.0048780487804878,0.00521739130434783,0.12249677002584,0.0188253012048193,0.0170673518076711,0.0596421471172962,0.0201477501678979,0.10320732782319,0.0611985278800083,0,0,0,0,0.000945268929010303,0.0722379603399433,0.0348586856225009,0.0806845965770171,0.0980363423212192,0,0.0467758102238557,0.478613667619924,0.878787878787879
0.00596205962059621,0.00347826086956522,0.127422480620155,0.0131777108433735,0.0198201504863278,0.0198807157057654,0.00671591672263264,0.0300134065820103,0.0512692174154573,0,0,0,0,0.00283580678703091,0.0652974504249292,0.0315095177881822,0.0476661480328962,0.0610858733880422,0,0.0481122619445373,0.476271016434222,0.939393939393939
0.0010840108401084,0.00173913043478261,0.427406330749354,0.0753012048192771,0.0489998164800881,0.0099403578528827,0.00335795836131632,0.00883916099416911,0.0853585167696688,0.0270137524557957,0.0195439739413681,0.0126195028680688,0.00646725949878739,0.00189053785802061,0.0524079320113315,0.0252896346673046,0.0366748166259169,0.0395662368112544,0.000531537916371368,0.00810223855663214,0.452498567884503,0.848484848484849
0.0032520325203252,0.00347826086956522,0.155927002583979,0.0216490963855422,0.0192695907505964,0.0298210735586481,0.010073875083949,0.0152036260707552,0.0327805013540726,0,0,0,0,0,0.0820113314447592,0.0497932401490038,0.0487997332740609,0.0546966588511137,0,0.0957233544938189,0.495380452347889,0.929292929292929
